"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_21120","citrate synthase",261.0226792,-2.263825,0.430878,-5.25398267,1.49e-07,1.75e-06,"TCA_ComplexI"
"vnz_21240","2-oxoacid:ferredoxin oxidoreductase subunit beta",241.8011024,-2.537318,0.372449,-6.81252718,9.59e-12,2.41e-10,"TCA_ComplexI"
"vnz_21245","2-oxoglutarate ferredoxin oxidoreductase subunit alpha",520.0627862,-2.592138,0.331273,-7.82477332,5.09e-15,2.05e-13,"TCA_ComplexI"
"vnz_22160","sucC",1530.904445,-2.713659,0.34367,-7.89612528,2.88e-15,1.19e-13,"TCA_ComplexI"
"vnz_22230","mdh",911.8787487,-4.291992,0.399174,-10.7521698,5.79e-27,1.09e-24,"TCA_ComplexI"
"vnz_22395","sdhA",665.0680749,-3.267202,0.349748,-9.34159324,9.49e-21,8.63e-19,"TCA_ComplexI"
"vnz_22400","sdhD",147.5381041,-3.399109,0.531742,-6.39239986,1.63e-10,3.28e-09,"TCA_ComplexI"
"vnz_22405","sdhC",214.3351323,-3.242823,0.434601,-7.46161264,8.55e-14,2.94e-12,"TCA_ComplexI"
"vnz_23020","phosphoenolpyruvate carboxykinase",78.74154548,0.955637,0.400049,2.388799037,0.016904,0.041493,"TCA_ComplexI"
"vnz_28745","acnA",732.3123118,-1.79503,0.392341,-4.57517995,4.76e-06,3.88e-05,"TCA_ComplexI"
