gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_02395,5.9259004,-0.0208653,1.494798,-0.0139586,0.988863,1
vnz_02400,17.978122,0.414573,1.211368,0.3422354,0.7321737,0.8559288
vnz_02405,24.659632,0.4586629,1.0316623,0.4445863,0.6566188,0.8052435
vnz_02410,1.8045612,0,1.6775526,0,1,NA
vnz_02415,11.419793,-0.4226589,0.7359534,-0.5743012,0.565764,0.7428221
vnz_02420,25.778139,0.1080525,0.4937344,0.2188474,0.8267689,0.91355
vnz_02425,12.188377,0.7538026,0.7934714,0.9500061,0.3421092,0.5504709
vnz_02430,4.0840826,0.7668094,1.4106304,0.5435934,0.5867213,0.7590051
vnz_02435,26.746356,1.1519664,0.8085093,1.4248028,0.1542142,0.3210744
vnz_02440,7.8862567,2.3684849,1.083577,2.1858021,0.0288301,0.0914663
vnz_02445,11.733769,3.6404847,1.1639203,3.1277783,0.0017613,0.0093635
vnz_02450,5.8075615,0,1.6246421,0,1,1
vnz_02455,5.0906265,0,1.6541331,0,1,1
vnz_02460,21.601423,1.8292813,1.226282,1.4917298,0.13577,0.291762
vnz_02465,3.3254166,-1.0037889,1.43841,-0.6978462,0.4852734,NA
vnz_02470,9.7826207,-1.2840423,1.1173987,-1.1491353,0.2505002,0.4536454
vnz_02475,28.386426,-1.3106881,0.5103602,-2.568163,0.0102239,0.0401608
vnz_02480,20.070521,0.1517977,0.5560247,0.2730053,0.7848492,0.8901889
vnz_02485,6.9955443,0.3326505,0.9553758,0.3481881,0.7276989,0.8536141
vnz_02490,16.985555,-1.1207362,0.5928111,-1.8905453,0.0586851,0.1585155
vnz_02495,21.540779,3.918233,1.2420661,3.1546091,0.0016071,0.0086213
vnz_02500,6.7302577,1.6174282,1.5011482,1.0774607,0.2812745,0.4865986
vnz_02505,21.635005,-2.101839,0.6844707,-3.070751,0.0021352,0.0109142
vnz_02510,242.23099,-0.2457831,0.8630597,-0.2847812,0.7758118,0.8837898
vnz_02515,27.024736,-0.3342192,0.5174232,-0.64593,0.5183247,0.7121492
vnz_02520,27.476962,-0.2461275,0.5592219,-0.440125,0.6598466,0.807831
vnz_02525,248.09188,4.40838,0.3929665,11.218209,3.32E-29,6.17E-27
vnz_02530,2.227619,0,1.7824754,0,1,NA
vnz_02535,2.0681574,0,1.7562756,0,1,NA
vnz_02540,10.91699,0.9660916,1.5717047,0.6146775,0.5387677,0.7248321
vnz_02545,1.620849,0,1.7929886,0,1,NA
vnz_02550,3.1404214,0,1.690517,0,1,NA
vnz_02555,5.0272008,0,1.699678,0,1,1
vnz_02560,5.1202723,0.9891202,1.5950991,0.6200995,0.5351923,0.7235604
vnz_02565,3.5626211,1.6352964,1.6019568,1.0208118,0.3073436,NA
vnz_02570,5.1123844,0.9908663,1.6178304,0.6124661,0.5402294,0.7255465
vnz_02575,4.1619908,0.9667192,1.6558155,0.5838327,0.5593329,0.7386084
vnz_02580,4.700778,0,1.6687134,0,1,1
vnz_02585,10.227783,1.6669594,1.4766727,1.1288618,0.2589561,0.463684
vnz_02590,12.118503,1.3953019,1.0944232,1.2749199,0.2023376,0.3884954
vnz_02595,125.0564,-1.3132458,0.415676,-3.1593012,0.0015815,0.0085117
vnz_02600,3.4799021,-0.0628646,1.2652673,-0.0496848,0.9603736,NA
vnz_02605,25.728895,0.2768055,0.8431423,0.3283023,0.7426831,0.862452
vnz_02610,10.474784,0.0702958,0.7638443,0.0920289,0.9266751,0.9823843
vnz_02615,68.959902,1.9227953,1.0789557,1.7820892,0.0747347,0.189738
vnz_02620,195.18305,2.5581547,0.8924306,2.8665027,0.0041503,0.018846
vnz_02625,6.4361587,0.9584385,1.5325636,0.6253825,0.53172,0.722167
vnz_02630,11.637797,1.0948248,0.9156722,1.1956515,0.2318326,0.4303951
vnz_02635,25.456988,1.0270148,0.5269706,1.9489033,0.051307,0.1437468
vnz_02640,870.04131,6.2166891,0.4883122,12.730972,3.98E-37,1.62E-34
vnz_02645,269.19006,6.1478447,0.6500552,9.4574195,3.16E-21,2.23E-19
vnz_02650,195.60331,5.1144213,0.6380275,8.0159886,1.09E-15,4.18E-14
vnz_02655,227.71591,5.2141912,0.6123012,8.5157285,1.66E-17,8.04E-16
vnz_02660,1294.7454,7.2942034,0.5128929,14.221689,6.72E-46,5.47E-43
vnz_02665,64.120886,4.3232616,0.8828065,4.897179,9.72E-07,1.04E-05
vnz_02670,9.6059981,0.2419149,1.1953383,0.2023819,0.8396181,0.9230267
vnz_02675,32.925898,1.3188468,0.5397814,2.4432982,0.0145537,0.0535639
vnz_02680,13.747408,0.9809054,1.0189955,0.96262,0.3357383,0.5444786
vnz_02685,21.997262,0.7851485,0.9885711,0.7942256,0.4270641,0.6350334
vnz_02690,9.4407763,1.42466,1.0457147,1.3623792,0.1730782,0.3475988
vnz_02695,10.946462,0.4572337,0.964868,0.4738821,0.635584,0.796101
vnz_02700,27.005379,-0.4213737,0.5623415,-0.7493199,0.4536644,0.6613696
vnz_02705,11.885259,1.6302399,0.8387585,1.9436344,0.0519396,0.1445555
vnz_02710,2.6917005,-0.4961986,1.3010592,-0.3813805,0.7029209,NA
vnz_02715,18.120406,0.4562928,0.6161908,0.7405058,0.4589932,0.6647849
vnz_02720,17.654464,0.5706561,0.5463876,1.0444163,0.2962928,0.5027239
vnz_02725,5.3067239,0.6340508,1.1270482,0.5625765,0.5737233,0.749098
vnz_02730,5.9487086,0.4327065,1.0100531,0.4283998,0.6683601,0.8119901
vnz_02735,3.4842739,0.9260215,1.6605505,0.5576593,0.577077,NA
vnz_02740,6.3478977,2.0794302,1.4611705,1.4231264,0.1546995,0.3216021
vnz_02745,98.868894,4.4960591,0.4827353,9.3137151,1.23E-20,8.28E-19
vnz_02750,45.435388,1.6439112,0.5349242,3.0731664,0.002118,0.0108433
vnz_02755,256.92258,0.6297719,0.4836455,1.3021353,0.1928701,0.374839
vnz_02760,226.39964,0.7206642,0.5205232,1.3844996,0.1662055,0.3384084
vnz_02765,45.932814,1.0904496,0.7457861,1.4621478,0.1437007,0.3039529
vnz_02770,32.721473,0.2056651,0.4975876,0.4133243,0.679369,0.8184225
vnz_02775,24.329191,-0.8745936,0.5556144,-1.5741016,0.115464,0.2589134
vnz_02780,110.88775,-1.7381386,0.6901472,-2.5185041,0.0117855,0.0450311
vnz_02785,44.794128,2.5778804,0.5607133,4.5975013,4.28E-06,4.13E-05
vnz_02790,3.4834565,0,1.7354495,0,1,NA
vnz_02795,9.1166907,0.008223,1.5102847,0.0054447,0.9956558,1
vnz_02800,4.6850014,0.5828584,1.4362747,0.4058126,0.6848803,0.8214397
vnz_02805,8.1429823,0.4475085,0.8130818,0.5503856,0.5820549,0.7547691
vnz_02810,15.355864,-0.3028721,0.6148357,-0.4926065,0.6222906,0.7871708
vnz_02815,23.512251,0.2397072,0.5088087,0.4711147,0.6375589,0.7969017
vnz_02820,13.224262,-1.6340826,0.8395278,-1.9464305,0.051603,0.1441431
vnz_02825,15.920833,-2.3152804,0.770195,-3.0060964,0.0026463,0.0130349
vnz_02830,37.211811,3.1773912,0.7844489,4.0504755,5.11E-05,0.0004022
vnz_02835,26.078646,-0.6309084,0.5550617,-1.1366454,0.2556865,0.4604016
vnz_02840,19.610386,-0.3952041,0.5681019,-0.6956571,0.4866436,0.6874924
vnz_02845,19.196781,3.4717433,0.8983845,3.864429,0.0001113,0.0008105
vnz_02850,4.7376993,-2.415607,1.4967386,-1.6139138,0.1065461,0.2442042
vnz_02855,6.1371024,-0.47027,0.9982784,-0.471081,0.6375829,0.7969017
vnz_02860,11.210762,-0.3393567,0.8033018,-0.4224523,0.6726949,0.8147297
vnz_02865,6.635483,-0.4945575,0.9985929,-0.4952543,0.6204206,0.7852707
vnz_02870,2.7248865,-1.1045049,1.4763111,-0.7481518,0.4543686,NA
vnz_02875,12.40223,-0.0216736,1.4540036,-0.0149061,0.9881071,1
vnz_02880,13.713077,-2.3693072,1.3776564,-1.7198099,0.085467,0.2082118
vnz_02885,11.824301,-1.6106225,0.8164706,-1.9726644,0.0485338,0.1381837
vnz_02890,8.8981188,-1.0826307,1.3094535,-0.8267805,0.4083615,0.6176681
vnz_02895,11.274599,0,1.5932748,0,1,1
vnz_02900,7.2618706,-1.6193237,1.4958747,-1.0825263,0.2790187,0.4840874
vnz_02905,77.515317,-1.6231195,0.7378858,-2.1996893,0.0278289,0.089028
vnz_02910,35.019378,-4.1342363,0.6575815,-6.2870327,3.24E-10,5.99E-09
vnz_02915,171.98688,-4.9330628,0.4452037,-11.080461,1.56E-28,2.54E-26
vnz_02920,52.486714,-3.3995089,0.4921157,-6.9079469,4.92E-12,1.22E-10
vnz_02925,114.9244,-3.7112765,0.4273099,-8.685211,3.78E-18,2.03E-16
vnz_02930,56.700722,-3.7061181,0.6522313,-5.6822142,1.33E-08,1.94E-07
vnz_02935,21.434495,-1.7952048,0.5471999,-3.2807114,0.0010355,0.0058948
vnz_02940,7.6039888,-0.513764,0.9295019,-0.5527304,0.580448,0.7538873
vnz_02945,18.875771,-6.2868822,1.1004476,-5.7130227,1.11E-08,1.64E-07
vnz_02950,4.717747,-1.7083158,1.5622466,-1.0934994,0.2741746,0.4788195
vnz_02955,74.419315,3.0721561,0.6455511,4.7589667,1.95E-06,1.98E-05
vnz_02960,8.3501827,2.8350853,1.3525572,2.0960928,0.036074,0.1087231
vnz_02965,3.9510277,0.9779181,1.5981957,0.6118888,0.5406113,0.725611
vnz_02970,20.571132,0.5746179,0.7041375,0.8160591,0.4144663,0.6227043
vnz_02975,24.332933,0.8374178,0.8772664,0.9545764,0.339792,0.5478261
vnz_02980,10.345866,0.0573919,1.0305047,0.055693,0.9555864,1
vnz_02985,7.6505875,0.8711403,1.15207,0.7561522,0.4495579,0.6575126
vnz_02990,13.0608,2.4991554,1.0022487,2.4935481,0.0126473,0.0477133
vnz_02995,5.3989256,-1.9404839,1.2905714,-1.5035851,0.1326882,0.2875133
vnz_03000,19.644755,-0.3431391,0.8928359,-0.384325,0.7007376,0.830849
vnz_03005,8.8030427,-0.5779221,1.4298678,-0.4041787,0.6860813,0.8214397
vnz_03010,8.428401,2.3111111,1.2355517,1.8705094,0.0614131,0.163911
vnz_03015,7.4168754,2.3581467,1.4533876,1.6225174,0.1046926,0.241487
vnz_03020,4.8136917,0.628812,1.4986862,0.4195755,0.6747956,0.8160977
vnz_03025,21.275806,0.6752653,0.8598949,0.7852882,0.4322846,0.6395034
vnz_03030,3.1246506,-0.6467603,1.5095378,-0.4284492,0.6683241,NA
vnz_03035,10.326945,-0.2687663,0.894279,-0.3005396,0.7637656,0.875894
vnz_03040,96.189832,0.628663,0.6687953,0.9399932,0.3472211,0.5558998
vnz_03045,101.45816,0.8316204,0.4029908,2.0636212,0.0390536,0.1158259
vnz_03050,66.20061,0.7180817,0.4303257,1.6686935,0.0951781,0.2251269
vnz_03055,206.58161,1.3254293,0.8535207,1.5528965,0.1204479,0.2674532
vnz_03060,53.199652,-1.6810202,0.4737591,-3.5482593,0.0003878,0.0024714
vnz_03065,12.400192,-1.2596166,0.7798797,-1.6151423,0.1062799,0.2439274
vnz_03070,36.125736,-1.0502139,0.5324702,-1.9723429,0.0485705,0.1381933
vnz_03075,9.0718033,-1.1245142,0.9676011,-1.1621671,0.2451676,0.4473655
vnz_03080,38.020201,0.5683883,0.5274748,1.077565,0.2812279,0.4865986
vnz_03085,23.295485,1.7188599,0.81236,2.1158846,0.0343546,0.104951
vnz_03095,16.732606,2.2365398,1.0334199,2.164212,0.0304481,0.0953513
vnz_03100,33.746796,1.1073763,0.6959659,1.5911359,0.111579,0.2520988
vnz_03105,64.039834,1.7018136,0.7119078,2.3904973,0.0168256,0.0602008
vnz_03110,15.803928,-1.017588,0.9573361,-1.0629371,0.2878105,0.493617
vnz_03115,38.157176,0.3239907,0.6429934,0.5038788,0.6143466,0.7812298
vnz_03120,33.765886,1.5514208,0.6402994,2.4229614,0.0153946,0.0560248
vnz_03125,24.582271,0.8967955,0.7473965,1.1998925,0.2301811,0.4280618
vnz_03130,33.954548,1.9036321,0.5684672,3.3487107,0.0008119,0.0047896
vnz_03135,12.940791,0.433038,0.733312,0.5905236,0.5548397,0.7353008
vnz_03140,9.9296273,1.355886,1.0240383,1.3240579,0.1854838,0.3644152
vnz_03145,12.055781,1.064553,0.8119307,1.3111377,0.1898112,0.3696802
vnz_03155,12.263386,0.3683071,0.7517565,0.4899287,0.6241843,0.7880418
vnz_03160,2.6749519,-0.0234033,1.5811465,-0.0148015,0.9881906,NA
vnz_03165,9.9222503,1.471853,0.9924433,1.4830601,0.1380585,0.2951204
vnz_03175,2.6347239,1.4209762,1.4552104,0.9764748,0.3288292,NA
vnz_03180,3.6912792,-0.0230109,1.2760193,-0.0180333,0.9856123,NA
vnz_03185,0,NA,NA,NA,NA,NA
vnz_03190,5.2556607,0.9727175,1.6013288,0.6074439,0.5435563,0.7277615
vnz_03195,6.3959912,-0.7041752,0.9506167,-0.7407561,0.4588413,0.6647849
vnz_03200,6.6028675,-0.9916916,1.5738022,-0.6301247,0.528613,0.7205038
vnz_03205,6.186389,-1.360763,1.0524706,-1.2929225,0.1960379,0.37927
vnz_03210,6.6794531,-0.2625568,0.8760485,-0.2997058,0.7644016,0.8763145
vnz_03215,10.298935,0,1.6187147,0,1,1
vnz_03220,14.039438,0.5150674,0.7943894,0.6483815,0.5167382,0.7111708
vnz_03225,8.2093458,-1.0280661,1.0362437,-0.9921085,0.3211446,0.5278323
vnz_03230,7.483046,-0.3821003,0.8035503,-0.4755151,0.6344199,0.794949
