gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_02695,10.946462,-0.2488027,0.8584389,-0.2898316,0.7719451,0.8844686
vnz_02700,27.005379,-0.6650437,0.6654504,-0.9993888,0.3176064,0.5209775
vnz_02705,11.885259,0.700384,0.8478293,0.8260908,0.4087526,0.6107651
vnz_02710,2.6917005,-0.0472412,1.4364083,-0.0328884,0.9737635,0.9894405
vnz_02715,18.120406,-0.1445885,0.6890833,-0.2098272,0.8338025,0.9169045
vnz_02720,17.654464,-1.2409728,0.7118215,-1.7433763,0.0812679,0.2179667
vnz_02725,5.3067239,2.2493557,1.2616575,1.7828576,0.0746095,0.205196
vnz_02730,5.9487086,-0.1578291,1.1330809,-0.139292,0.8892194,0.9447456
vnz_02735,3.4842739,1.6513581,1.4323724,1.1528832,0.2489583,0.4491785
vnz_02740,6.3478977,1.1527118,1.1619987,0.9920078,0.3211937,0.5236386
vnz_02745,98.868894,-0.4083449,0.4273838,-0.9554524,0.339349,0.5408271
vnz_02750,45.435388,-0.1014976,0.5620826,-0.1805742,0.8567018,0.9284543
vnz_02755,256.92258,4.892151,0.4828806,10.131181,4.02E-24,3.79E-22
vnz_02760,226.39964,3.9008734,0.4869828,8.0102896,1.14E-15,5.47E-14
vnz_02765,45.932814,4.1163439,0.7145415,5.7608187,8.37E-09,1.69E-07
vnz_02770,32.721473,-0.1195924,0.5324901,-0.2245909,0.8222975,0.911176
vnz_02775,24.329191,-0.7684553,0.8498739,-0.9041993,0.3658898,0.5708106
vnz_02780,110.88775,1.0788864,0.5797788,1.8608586,0.0627642,0.1819184
vnz_02785,44.794128,-0.9372718,0.5168814,-1.8133207,0.0697824,0.1957668
vnz_02790,3.4834565,1.2874588,1.626284,0.7916568,0.4285608,0.6283647
vnz_02795,9.1166907,1.3923639,1.1755816,1.1844043,0.2362531,0.4352418
vnz_02800,4.6850014,1.4726847,1.1743839,1.2540062,0.2098398,0.4028331
vnz_02805,8.1429823,0.6178399,0.95133,0.6494485,0.5160485,0.7044535
vnz_02810,15.355864,0.0752534,0.7397502,0.1017281,0.9189725,0.9629145
vnz_02815,23.512251,-0.0525946,0.6680015,-0.0787342,0.937244,0.9736407
vnz_02820,13.224262,-0.0700364,0.8598154,-0.0814552,0.93508,0.972879
vnz_02825,15.920833,-1.746548,0.8668547,-2.0148105,0.0439245,0.1412529
vnz_02830,37.211811,3.8282459,0.6860409,5.5802009,2.40E-08,4.50E-07
vnz_02835,26.078646,-0.1617353,0.6331555,-0.2554432,0.7983808,0.8995446
vnz_02840,19.610386,-0.453233,0.6772845,-0.6691914,0.5033734,0.6935391
vnz_02845,19.196781,3.5210796,0.8636268,4.0770846,4.56E-05,0.0004465
vnz_02850,4.7376993,4.2736255,1.4484425,2.9504971,0.0031726,0.0182717
vnz_02855,6.1371024,0.8381822,1.0378731,0.8075961,0.4193232,0.621099
vnz_02860,11.210762,0.9634579,0.8626148,1.116904,0.2640354,0.4648861
vnz_02865,6.635483,0.1239415,1.0359556,0.1196398,0.9047685,0.954247
vnz_02870,2.7248865,1.2523655,1.3545461,0.9245647,0.3551924,0.5590509
vnz_02875,12.40223,4.3898264,1.2328338,3.560761,0.0003698,0.0028636
vnz_02880,13.713077,2.7305681,1.0165453,2.6861254,0.0072286,0.0353587
vnz_02885,11.824301,-0.804334,0.8189137,-0.9821964,0.3260031,0.5286254
vnz_02890,8.8981188,1.8882241,1.072416,1.7607198,0.0782858,0.2120729
vnz_02895,11.274599,3.2149207,1.1080735,2.9013606,3.72E-03,0.020789
vnz_02900,7.2618706,0.5653907,1.08092,0.5230643,0.6009295,0.767433
vnz_02905,77.515317,5.3776793,0.7188843,7.480591,7.40E-14,2.91E-12
vnz_02910,35.019378,0.5433382,0.774403,0.701622,0.4829149,0.6759228
vnz_02915,171.98688,0.8657999,0.5366444,1.6133587,0.1066666,0.2601866
vnz_02920,52.486714,0.4570953,0.7652121,0.5973446,0.5502774,0.7291021
vnz_02925,114.9244,-0.8491983,0.6572988,-1.2919516,0.1963739,0.3856644
vnz_02930,56.700722,-1.6125715,0.9649547,-1.671137,0.0946946,0.2409233
vnz_02935,21.434495,1.2583198,0.8623797,1.459125,0.1445307,0.3181923
vnz_02940,7.6039888,0.5701189,0.8974236,0.635284,0.5252432,0.7116523
vnz_02945,18.875771,0.7229797,0.9046504,0.7991813,0.4241853,0.6249757
vnz_02950,4.717747,3.2597908,1.4388509,2.2655515,0.0234789,0.0878348
vnz_02955,74.419315,1.3474023,0.3937312,3.4221371,0.0006213,0.0044874
vnz_02960,8.3501827,-0.049776,0.9746161,-0.0510724,0.9592678,0.9818796
vnz_02965,3.9510277,1.5271678,1.37124,1.1137129,0.2654024,0.4660178
vnz_02970,20.571132,-2.2862221,0.7727286,-2.9586354,0.00309,0.0178687
vnz_02975,24.332933,-3.6887091,0.9750143,-3.7832357,0.0001548,0.0013378
vnz_02980,10.345866,-2.6526701,1.1030024,-2.4049541,0.0161745,0.0662902
vnz_02985,7.6505875,-1.145823,1.1181747,-1.0247262,0.3054924,0.5094467
vnz_02990,13.0608,-1.8989683,0.8597114,-2.208844,0.0271855,0.097973
vnz_02995,5.3989256,1.5340478,1.1591439,1.3234317,0.1856919,0.3734944
vnz_03000,19.644755,-1.2364135,0.7473104,-1.6544845,0.0980291,0.2463081
vnz_03005,8.8030427,-0.6969174,1.101712,-0.6325768,0.52701,0.713227
vnz_03010,8.428401,-1.0770823,0.9838961,-1.0947114,0.2736431,0.4741815
vnz_03015,7.4168754,0.6538747,1.0775058,0.6068411,0.5439564,0.7243882
vnz_03020,4.8136917,0.2087902,1.2918783,0.1616175,0.871607,0.9347325
vnz_03025,21.275806,0.5243916,0.7422348,0.7065037,0.479875,0.6733852
vnz_03030,3.1246506,0.4019955,1.3612035,0.2953235,0.7677467,0.8828776
vnz_03035,10.326945,-0.4910386,0.8806027,-0.5576165,0.5771063,0.7502694
vnz_03040,96.189832,4.7811471,0.6875242,6.9541513,3.55E-12,1.13E-10
vnz_03045,101.45816,-0.8272062,0.3851532,-2.147733,0.031735,0.1106503
vnz_03050,66.20061,-1.7620037,0.436534,-4.0363491,5.43E-05,0.0005228
vnz_03055,206.58161,3.9851574,0.5871051,6.7878089,1.14E-11,3.39E-10
vnz_03060,53.199652,1.3018787,0.5635913,2.3099692,0.0208899,0.0808411
vnz_03065,12.400192,0.3490636,0.8382349,0.4164269,0.6770977,0.8244447
vnz_03070,36.125736,0.8048047,0.6154928,1.3075778,0.1910165,0.3795077
vnz_03075,9.0718033,0.2313989,0.9285911,0.2491936,0.8032111,0.9016856
vnz_03080,38.020201,0.1597621,0.4939132,0.3234619,0.7463455,0.8694261
vnz_03085,23.295485,0.414272,0.6569559,0.6305933,0.5283065,0.713836
vnz_03095,16.732606,2.2340381,0.9934755,2.2487097,0.024531,0.0908108
vnz_03100,33.746796,1.8172384,0.7238817,2.5104078,0.0120592,0.0530814
vnz_03105,64.039834,1.9463768,0.5723454,3.4007034,0.0006721,0.0048054
