"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_21100","pdhL",189.0198358,-3.097949,0.442632,-6.99892192,2.58e-12,8.41e-11,"TCA_ComplexI"
"vnz_21105","aceE1",79.95658127,-2.252375,0.47112,-4.78089179,1.75e-06,2.38e-05,"TCA_ComplexI"
"vnz_21110","cydB",373.9529939,-2.932959,0.402284,-7.29077338,3.08e-13,1.12e-11,"TCA_ComplexI"
"vnz_21115","Dihydrolipoamide dehydrogenase",292.4567532,-3.214255,0.388176,-8.28040548,1.23e-16,6.68e-15,"TCA_ComplexI"
"vnz_21120","citrate synthase",261.0226792,-2.881583,0.414984,-6.94383781,3.82e-12,1.21e-10,"TCA_ComplexI"
"vnz_21240","2-oxoacid:ferredoxin oxidoreductase subunit beta",241.8011024,-1.85902,0.356632,-5.21270495,1.86e-07,2.99e-06,"TCA_ComplexI"
"vnz_21245","2-oxoglutarate ferredoxin oxidoreductase subunit alpha",520.0627862,-1.726715,0.323637,-5.33535182,9.54e-08,1.61e-06,"TCA_ComplexI"
"vnz_22160","sucC",1530.904445,-0.097471,0.335369,-0.29063751,0.771329,0.884267,"TCA_ComplexI"
"vnz_22230","mdh",911.8787487,-1.427716,0.316838,-4.5061398,6.6e-06,7.91e-05,"TCA_ComplexI"
"vnz_22395","sdhA",665.0680749,-0.488447,0.322776,-1.51326689,0.130212,0.296776,"TCA_ComplexI"
"vnz_22400","sdhD",147.5381041,-0.946988,0.445787,-2.12430407,0.033645,0.11549,"TCA_ComplexI"
"vnz_22405","sdhC",214.3351323,-0.818145,0.373107,-2.1927906,0.028322,0.101321,"TCA_ComplexI"
"vnz_23020","phosphoenolpyruvate carboxykinase",78.74154548,1.405148,0.480154,2.926451175,0.003429,0.019492,"TCA_ComplexI"
"vnz_28745","acnA",732.3123118,0.123975,0.405369,0.305832493,0.759732,0.877081,"TCA_ComplexI"
