geneID,Name,BaseMean,Log2FC,StErr,WaldStats,P-val,P-agj,Function
vnz_34865,NRPS,10.48476598,4.232426,1.279993,3.306602006,0.000944,0.005448,Biosynthetic
vnz_34875,NRPS,9.620736661,3.699447,1.009413,3.664949869,0.000247,0.001666,Biosynthetic
vnz_34880,NRPS,6.1862706,0.290445,1.003061,0.289558817,0.772154,0.880856,Biosynthetic
vnz_34885,NRPS,6.383784591,3.999517,1.322368,3.024512404,0.00249,0.012427,Biosynthetic
vnz_34990,Terpene,2.853221504,0,1.691073,0,1,NA,Biosynthetic
vnz_34995,Terpene,2.445691207,0,1.726567,0,1,NA,Biosynthetic
vnz_35000,Terpene,4.061977465,2.64006,1.479301,1.784667026,0.074315,0.188895,Biosynthetic
vnz_35005,Terpene,66.60890236,5.965334,1.134222,5.259405331,1.45E-07,1.79E-06,Biosynthetic
vnz_35010,Terpene,111.0727392,6.664856,1.109578,6.006660288,1.89E-09,3.12E-08,Biosynthetic
vnz_35015,Terpene,149.9224093,6.939793,1.090659,6.362933128,1.98E-10,3.86E-09,Biosynthetic
vnz_35020,Terpene,420.9480478,6.051155,0.924112,6.548074648,5.83E-11,1.24E-09,Biosynthetic
vnz_35025,Terpene,49.21876652,6.477748,0.955418,6.780017282,1.20E-11,2.86E-10,Biosynthetic
vnz_35030,Terpene,36.98846456,5.855972,0.991442,5.906518205,3.49E-09,5.51E-08,Biosynthetic
vnz_35035,Terpene,1286.743526,4.139509,0.382789,10.814062,2.95E-27,4.37E-25,Biosynthetic
vnz_35040,Terpene,612.0790299,3.864556,0.408391,9.462881485,3.00E-21,2.17E-19,Biosynthetic
vnz_35045,Terpene,1050.205139,3.998921,0.410412,9.743676084,1.96E-22,1.66E-20,Biosynthetic
vnz_35050,Terpene,47.23806456,0.324832,0.410533,0.79124283,0.428802,0.636455,Biosynthetic
vnz_35055,Terpene,8.015161625,2.149712,1.259947,1.706193117,0.087972,0.212485,Biosynthetic
vnz_35060,Terpene,3.248941791,0.605695,1.505571,0.402302482,0.687,NA,Biosynthetic
vnz_35065,Terpene,4.661937651,-2.285053,1.313264,-1.73997984,0.081863,0.202771,Biosynthetic
vnz_35070,Terpene,7.861934054,2.901677,1.006447,2.883090275,0.003938,0.018045,Biosynthetic
vnz_35075,Terpene,13.86684727,-0.264573,0.735222,-0.35985493,0.718956,0.847355,Biosynthetic
